V,I,P,File,Time,I_STC,V_STC,P_STC
5.4042,0.0,0.0,20251017150003PERC2_fixed_1MD439.txt,15:00:03,0.0,5.505450000000001,0.0
4.8716,3.4868,16.9865,20251017150003PERC2_fixed_1MD439.txt,15:00:03,3.4868,4.97285,17.339333380000003
4.7649,3.7984,18.0989,20251017150003PERC2_fixed_1MD439.txt,15:00:03,3.7984,4.86615,18.48358416
4.6722,4.0069,18.721,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.0069,4.77345,19.126736805
4.5658,4.1712,19.0449,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.1712,4.667050000000001,19.46719896
4.474,4.2802,19.1495,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.2802,4.5752500000000005,19.58298505
4.3715,4.3529,19.0288,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.3529,4.4727500000000004,19.469433475000002
4.2749,4.398,18.8011,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.398,4.37615,19.2463077
4.171,4.4232,18.4491,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4232,4.2722500000000005,18.8970162
4.0719,4.431,18.0424,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.431,4.173150000000001,18.491227650000003
3.9686,4.4363,17.6059,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4363,4.06985,18.055075555
3.848,4.4303,17.0479,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4303,3.9492499999999997,17.496362275
3.7386,4.4108,16.4905,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4108,3.8398499999999998,16.93681038
3.6935,4.4127,16.2983,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4127,3.7947499999999996,16.745093325
3.6052,4.4138,15.9126,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4138,3.70645,16.35952901
3.4743,4.4347,15.4071,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4347,3.57555,15.856491585
3.3729,4.4326,14.9505,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4326,3.47415,15.399517289999999
3.2726,4.4376,14.5226,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4376,3.37385,14.97179676
3.1689,4.4367,14.0596,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4367,3.2701499999999997,14.508674504999998
3.073,4.436,13.632,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.436,3.17425,14.080972999999998
2.97,4.4356,13.1737,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4356,3.07125,13.6228365
2.8721,4.4347,12.7366,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4347,2.97335,13.185915245
2.7704,4.4342,12.2846,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4342,2.87165,12.733470429999999
2.6741,4.4369,11.8647,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4369,2.77535,12.313950414999999
2.5706,4.4337,11.3974,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4337,2.67185,11.846181345
2.4756,4.4333,10.9751,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4333,2.57685,11.423949105
2.3715,4.4344,10.5162,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4344,2.47275,10.965162600000001
2.2753,4.434,10.0888,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.434,2.37655,10.5376227
2.1698,4.434,9.621,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.434,2.27105,10.069835699999999
2.0744,4.4344,9.1987,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4344,2.1756499999999996,9.647702359999998
1.973,4.4319,8.7441,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4319,2.07425,9.192868575
1.8757,4.4335,8.316,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4335,1.97695,8.764807825
1.7741,4.4319,7.8626,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4319,1.87535,8.311363665
1.6784,4.434,7.442,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.434,1.77965,7.8909681
1.5734,4.4333,6.9751,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4333,1.67465,7.424225845
1.4733,4.4369,6.5371,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4369,1.5745500000000001,6.986120895
1.3708,4.4365,6.0815,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4365,1.47205,6.530749825
1.2728,4.4395,5.6507,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4395,1.37405,6.100094974999999
1.1701,4.439,5.1939,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.439,1.27135,5.64352265
1.0758,4.4395,4.7758,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4395,1.1770500000000002,5.2255134750000005
0.973,4.4395,4.3196,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4395,1.07425,4.7691328749999995
0.8757,4.4456,3.8931,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4456,0.97695,4.34312892
0.7732,4.4429,3.4351,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4429,0.87445,3.8850939049999997
0.6802,4.4427,3.0221,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4427,0.78145,3.4717479150000004
0.5752,4.4438,2.556,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4438,0.67645,3.0060085100000005
0.4802,4.442,2.133,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.442,0.58145,2.5828009
0.3781,4.4411,1.6792,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4411,0.47935,2.1288412849999996
0.2827,4.4408,1.2553,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4408,0.38395,1.7050451600000003
0.1769,4.4415,0.7858,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4415,0.27815,1.235403225
0.1016,4.4431,0.4515,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4431,0.20285,0.9012828350000001
0.0998,4.4431,0.4434,20251017150003PERC2_fixed_1MD439.txt,15:00:03,4.4431,0.20105,0.8932852550000001
